,ref
7160,As the above indicates everyone had or has some sort of word for the cat.
7161,What is also a mystery is why the use of the word cat was so often attached as a prefix to other words.
7162,"In some examples I feel the word also suffered catachresis , a misapplication of cat due to etymology."
7163,"Catgut , for example, has nothing to do with that animal as it is a tough, elastic cord made from the twisted intestines of sheep, used for the strings of musical instruments."
7164,The first element might have come from kit small fiddle.
7165,"When it is played badly, however, some listeners agree that there is a feline similarity to caterwauling , from the Middle English caterwawen , an uttering of a discordant shrieking, as from a cat."
7166,"It is unlikely they would have wanted to see examples of cat suits , the all-in-one, neck-to-foot legged garment, worn by women and men during WWII."
7167,"Winston Churchill, often depicted as a bulldog, frequently wore one to work, though he preferred to call it a boiler suit."
7168,"Winnie possibly thought his cat suit was the cat's whiskers , i.e., good, satisfactory, perfect, ideal for the task."
7169,"Similar to the cat's whiskers is the cat's pyjamas meaning anything that is very good, attractive; American in origin from around 1920, it had become Briticized by 1923."
7170,Catoptrics is the study of the reflection of light.
7171,"Cat silver , German Katzensilber , similarly, is silver that still shines in declining light."
7172,"Perhaps some of the latter drank cat's water , a 19th-century term for gin."
7173,"Catting was a word for chasing after the female sex, i.e., a man out on the tiles--like a tomcat?"
7174,Cattery is the name for the place where numbers of animal cats are housed.
7175,Other authorities hold that cat lap was slops; the stuff a cat will lap.
7176,Catnip is the American name for a plant known elsewhere as catmint .
7177,"Cat ice is a thin layer of ice on a puddle from under which water has receded, so named because it will bear only the weight of a cat, or a catling , a kitten walking over it cat-footed to avoid breaking it."
7178,"Cat dirt is not what might be thought, but a type of clay. Catbrain is a soil containing clay mixed with stones."
7179,Cat and clay is straw and clay mixed together to make rolls of material which are laid between the wood posts in constructing mud walls of dwellings.
7180,"Cat is abbreviated from catamaran , used in trade names like Hobie Cat ."
7181,"The word catamaran comes from the Tamil kattu binding, katta to tie, and maram wood, meaning logs."
7182,"Another use of catamaran , quite different, is a cross-grained, cantankerous woman."
7183,The cathead is a heavy piece of timber projecting from the bows of a vessel for hauling anchors fitted with a stock into position clear of the ship's side.
7184,"It was so called because in the days when there was much carving on wooden-hulled ships, a cat's head or sometimes a lion's head was almost always carved on it."
7185,"This procedure, before the days of the stockless anchor, was known as catting the anchor ."
7186,"One is the slight ripple on the surface of an otherwise flat sea, interpreted by sailors as portending a breeze."
7187,"Second, it is a twisting hitch, made in the bight of a rope to form two eyes through which the hook of a tackle is passed for hoisting."
7188,"Third, cat's-paw dates from the late 18th century as a dupe, a person used by another as an unsuspecting agent, or tool, especially in nefarious transactions."
7189,This version came from the fable of the monkey which used a cat's paw to draw hot chestnuts from a fire.
7190,"As for cat holes , they were two small holes cut into the stern above the gun ports on a sailing man o' war, on the same level as the capstan, and used for leading a stern hawser to the capstan when required to secure the ship astern."
7191,"There are many uses of cat in the naming of wild species, some having tenuous associations."
7192,"This dates back to 1440 and the word catyrpel , worm among the fruit."
7193,"In the 19th century totally different was cat's-head , it being a non-nautical term for the end of shoulder of mutton."
7194,"To those that live in Florida it is almost invaluable, as we cannot get eggs that are fresh and good in any other way."
7195,"Etymologically, males cannot suffer from hysteria, and most older people are unlikely to get colic."
7196,"Such amusements aside, one might think that a careful review of an older dictionary might reveal something about the state of the language at the time of publication; but that is not necessarily true for old dictionaries any more than it is for new ones."
7197,"Readers may be surprised to learn that there is, effectively, no definition in the Random House Unabridged for electricity : where one would expect to find the main definition appear cross references to electric charge and electric current , neither of which offers a definition akin to the one we all know to the one sought."
7198,"The problem is, of course, that while our understanding of the behavior of electricity has improved in the last century or so, we know little more about its basic nature than we did before."
7199,"Like modern dictionaries, dictionaries prepared in the past contain entries considered important by their editors, either for personal reasons--and there is nothing much criticizable in following a personal opinion if it is that of a qualified observer--or because a given word had become traditional in the contemporary cultural context."
7200,"It must be remembered that the dictionary in hand contains only 32,000 words and phrases, which means that it is half the size of the average mass-market paperback dictionaries sold today."
7201,"For one thing, certain British spellings are retained, but those might have been left over from pre-Webster spelling reform: endeavour, moulding, humour; enamelling; fulfil ."
7202,"At alcahest , the definition reads, the universal solvent; at alkahest , which is merely a spelling variant, the definition is, a pretended universal solvent, from which one might conclude that the first is the real thing."
7203,"The conclusion is that such books seldom have anything to teach us except in the most general way about the way the language was used in another time, partly owing to the lack of sophistication of their compilers, partly to their conservatism, which tempts them to include terms and definitions that are no longer current."
7204,Such entries must be retained for they are encountered in reading.
7205,"With all the dialects and long-lived speakers of English today, the lexicographer risks inaccuracy in labeling a word, phrase, or sense obsolete or archaic : there is sure to be someone who speaks a form of English in which the expression is extant."
7206,"For another thing, we must pay close attention to historical information--not about the language, but about the culture."
7207,"She was sitting in a chair and immediately fell out when sex was mentioned, according to the woman's defense attorney."
7208,"It is not a subject for flippancy, one must concede, especially in the circumstances surrounding the case."
7209,"Evidently, a neighbor learned of the woman's condition, whispered the word sex to her as she was passing through the lobby of the apartment house where they live, whereupon she dropped, unconscious, to the floor, and he sexually molested her--presumably after moving her to a more private venue."
7210,"The trial of the molester is becoming difficult to prosecute, for every time the molestee is called to testify, she faints, even if the prosecutor so much as spells the word s-e-x ."
7211,How the event was reported in the first instance is not revealed.
7212,"It might be suggested that Ameslan be employed or that the woman be asked to demonstrate what took place using dolls, as they do when asking children to testify."
7213,Readers may draw their own conclusions and opinions on the subject; it wouldn't do for us to comment.
7214,"Even the less sensitive of us become irritated with clichés after a while, and one often wishes that Have a nice day had gone the way of Hi!"
7215,"But it seems here to stay, and, on reflection, merits comment."
7216,", Hello , and numerous other salutational and valedictory remarks in the course of the day."
7217,"What happens when power users dump baudy language ? Should they abort, retry, ignore , or admit failure?"
7218,"They might boot up again, but they could experience a head crash . Would Kermit prevent them from being munged ?"
7219,What should a poor technoweenie do when threatened by thrashing between disk and memory?
7220,"Nerdettes better hope their motherboards are user-friendly . If all else fails, they could hit the DWIM key."
7221,Most people who use computers feel ambivalent about them.
7222,"It should not, therefore, be surprising that computer slang conveys divided, and sometimes radically conflicting feelings."
7223,As a librarian I see evidence every day of this ambivalence in the slang used by patrons and colleagues.
7224,Slang is a reliable gauge of attitudes because it is usually used in an unguarded way to express unedited feelings.
7225,"Jargon is the in language used by any profession, group, or class."
7226,The word default is jargon for something automatically carried out unless you change it.
7227,"This term does not qualify as slang because it is a legitimate, formal term, rather easy to define denotatively, quite fit for use in polite company, and equally at home in written and spoken language."
7228,"By contrast, the neologism droupie a person who likes to spend time in the company of programmers and data processing professionals, is slang because it is very informal language."
7229,"In fact, it is so casual as to suggest an anti-grown-up rebelliousness because of its probable derivation from the word groupie , and it is definitely more frequent in speech than in writing."
7230,"Because slang is up front and sometimes deliberately in your face language, we can learn more about how people really feel about computers by examining slang rather than jargon."
7231,"Technical language develops among specialists for the purpose of cooperation; slang develops among associates for purposes of expressiveness, companionability and to some extent exclusivity."
7232,"We can learn a lot about what is on people's minds when we analyze jargon, but we can learn how they feel when we analyze slang."
7233,"Thus, it is not surprising that a great deal of computer jargon is a quick way to say otherwise complicated things."
7234,"For example, MIPS is a convenient acronym for millions of instructions per second, point and click is a quick and direct way of describing basic mouse techniques, and run-around , borrowed from typesetting, is an apt metaphor for the way text flows around the outside edges of a graphic image."
7235,"Jargon like this is very good at precisely describing actions and things, but these words do not convey any obvious attitudes about their referents."
7236,My analysis of computer slang has revealed a great deal of ambivalence about these often mysterious and seemingly omnipotent machines.
7237,Some computer slang suggests a love-fear conflict.
7238,One does not have to be a Freudian to wonder about the double message implied in some of these terms.
7239,"On the one hand, there are quite a number of words and phrases suggesting that computers are powerful and frightening."
7240,We definitely want to do all we can to avoid causing a computer to bomb or crash.
7241,It is true that many computer applications began in the military but many people who are not conscious of the military associations use expressions like command language or launch a program.
7242,"Because computers simulate many human activities, it is not surprising that we should attribute all kinds of human characteristics to them."
7243,They do seem to possess artificial intelligence; some of them create virtual reality; and they are so efficient that they make us wonder about why we would want to do anything in real time any more.
7244,When I am feeling especially organized at work I like to tell coworkers that I'm in the batch mode.
7245,Computers are so seemingly lifelike that we worry when they catch viruses; we seek to debug programs; and we do not have to be right-to-lifers to worry if a computer application is suddenly aborted.
7246,Our fears are often suggested when we say that some repetitious human activity looks as if it is programmed.
7247,We sometimes want to deprogram people who belong to dogmatic cults.
7248,"As if to counteract or reduce the frightening power suggested by many of these words, other slang expressions suggest that computers are really quite harmless."
7249,"Surely we must expect that the normal state of affairs is for computers to be hostile, or at least unfriendly."
7250,Why else would we so frequently use the term user-friendly to describe operations that are not easy to do?
7251,And how did such a cold and unhuman thing like a telecommunications protocol for transferring files between a mainframe and a microcomputer get dubbed Kermit?
7252,It seems incongruous that a character on a children's television show should be identified with such an impersonal thing.
7253,"On the contrary, that world is as blithe and carefree as the Winnie the Pooh stories."
7254,Surely the people who coined these names are of the same mindset as those who call miniature programs applets or refer to diagonal or circular lines in a text as jaggies.
7255,Reference librarians who regularly contribute to the Stumpers list on the Internet refer to themselves as wombats.
7256,"This apparently originated because one of the reference questions involved these Australian marsupials, noted for their burrowing qualities."
7257,"Surely the nickname has stuck not only because of the metaphorical associations with librarians burrowing for answers, but also because the name sounds cute, personalizing what otherwise might seem to be the overly mechanical activity of finding answers to reference questions."
7258,So many people use their pets' names for passwords that these are among the first names a decoder would try to learn.
7259,"The soft, warm, children's words allow us to allay our fears about computers that crash and bomb and abort."
7260,It is as if the cute words undemonized the scary ones.
7261,"Another version of reality offends bureaucrats and is just as exaggerated, but it is very useful as a defense mechanism."
7262,"Myself, I can't wait to visit Eluosi again, although all roads traditionally lead to Luoma, even if you are travelling from as far as Meizhou."
7263,"Where in the world are these places, you may wonder."
7264,"They would then appear as bālī, y˘di˘n, éluósī, luóm˘ , and měizhōu ."
7265,"Chinese names of places in China itself are of course actually meaningful, although many have become distorted by Westerners."
7266,"Canton , or as it now appears on modern maps, Guangzhou , means broad region, while Shanghai means over the sea."
7267,"Japan itself is riběn , literally sun root."
7268,"Places further from China may also sometimes have their names translated, assuming they are already meaningful."
7269,"Thus Port-au-Prince , capital of Haiti, is tàiz\isymbol\găng , literally great son port, but Haiti itself is hăidi , clearly a transliteration."
7270,"Such serendipity sends one on a voyage of discovery, to see what meanings can be aptly found in other Chinese transliterated names."
7271,"The transliterations themselves, as instanced above, may at first seem strange."
7272,"However, once one appreciates certain conventions, the forms of the names fall into shape."
7273,"The Chinese do not distinguish l from r in Western words or names, for example, so that these letters when transliterated may appear as either."
7274,This means that vowels appear in transliterations where one does not expect them.
7275,The transliteration itself is often from the native form of the name.
7276,Not all names produce a fortuitous literal meaning as apt as that for Haiti .
7277,"In the names of America and England the second element is not part of the transliteration but the Chinese word for, respectively, continent and country."
7278,"The second and third of these have names that could literally be interpreted, hardly flatteringly, as inferior continent and wrong continent, but the first element of Europe's name has no corresponding sense."
7279,"This is clearly not a transliteration but a translation: it literally means ice island, with the second element apparently mistranslating the Icelandic name for the country, Īsland ice land as island."
7280,"This literally means seatide fresh, not inappropriately, but is actually a transliteration of Korean chosön , which means land of the morning."
7281,"The names that Japanese pop groups adopt would, at first glance, appear to be as vacuous and bland as the worst of the western pop their managers/producers/arrangers plagiarize and instruct/ command them to play."
7282,"What is interesting about some of these purveyors of Japanese pap--I mean pop--is how their names appear on CD, cassette, and other labels and in the Japanese pop press."
7283,For this to be appreciated I must first briefly describe the complex Japanese system of writing.
7284,You can see the whole consort effortlessly dancing together on the front page of any Japanese newspaper.
7285,"In the case of the names of their pop groups, this concatenation, however, assumes truly awesome and bizarre proportions, surely unknown, indeed not even possible, in any other language."
7286,"From all this we can clearly deduce that in no way can the Japanese be accused of xenophobia-- linguistic, anyway!"
7287,"Not surprisingly, some of my students came along primarily to acquire a smattering of spoken English to help them chat up holidaying women."
7288,"For such men, the somewhat tedious rules of English spelling were of scant interest, I lav you, Pleas com and leave whit me in my aus was typical of the kind of useful phrase that they might jot down in their notebooks."
7289,"In his day French was the international language, spoken by anyone who aspired to a place in high society in any country, but during his brief visit to London in 1763-64 he made an attempt to pick up a smattering of English."
7290,"In his autobiography, written thirty years later, he proudly demonstrates his knowledge, casually throwing English words into the middle of his French text with an easy confidence and some bizarre spelling."
7291,"She did not give him a particularly warm reception, however, and he was soon on the lookout for a house to rent for himself."
7292,"With the help of an English-speaking friend, he examined the columns of the Advertisser and quickly found the ideal bachelor pad--a house in Pale-Male--which he moved into at once, making sure that the Auskeper would take on a French-speaking maidservant."
7293,He was keen to get to know the city and his friends in London society soon showed him the sights.
7294,"Being the son of an actor and actress, he was naturally interested in the theaters, such as those at Covengarde, Drurilaine, and Hai-marcket."
7295,"Not being accustomed to that particularly English form of cards, he lost fifteen pounds in his first game to Lady Covendri."
7296,He lived near such attractions as Grim-pare and the new royal residence of Bukingan Aus.
7297,"Afterwards they might venture out to the Boulingrin or, if he needed ready money quickly, to pawn some possessions at the Pingbros."
7298,He could also admire Wren's splendid new church of St. Pol and the wonderfully efficient Penni-post which delivered letters around the capital.
7299,Casanova was a highly intelligent man and a competent linguist.
7300,"Much of his prodigious literary output, including his 3,000-page autobiography, was written in French, which was a foreign language to him."
7301,So why was his written English so haphazard?
7302,"Besides, he did not write his life story till thirty years after his visit to England, with no more than his memory to rely on when writing a language he had spoken but, very likely, not written before."
7303,But most important of all is that the situation did not worry him.
7304,He loved to communicate and was happy to charge headlong at the language and have a go regardless of the risk of mistakes--an attitude which many people today might do well to learn from.
7305,"Maybe it would bring a smile to Casanova's lips to know that even now, although the world and the relative importance of the English language have changed so much, those of his countrymen who style themselves as his heirs retain his enthusiastic disregard for English spelling."
7306,"As he would doubtless have observed in his perfectly idiomatic English, Plus ca change, plus c'est la même chose."
7307,"Which leads to the use of medical eponyms, proper names, usually of persons or places, to designate diseases; their signs and symptoms, alone or in combination; reflexes, and a host of other medical phenomena."
7308,"Fortunately, only Graves's name ends in s but his is the overwhelmingly favored eponym of English-speaking physicians."
7309,"Dorland also listed 488 signs, again mostly eponymous, of different diseases, thirty-three in thyrotoxicosis."
7310,"But historical background offers little help in the management of Safire's syndrome, because criteria for correct use of apostrophes and s 's for proper nouns ending in s are lacking."
7311,"Critics may sensibly ask, Who owns the eponym?"
7312,"Should the earliest reporter, the most accurate one or the one most widely known today be memorialized?"
7313,One might look to modern medical journals for guidance but little is to be had.
7314,"Many medical journals, however, have declined to follow its lead and medical dictionaries are neither particularly helpful nor consistent."
7315,"By 1988 the editors of Dorland's 28th edition had deleted three eponymous entries for hyperthyroidism, retaining Graves but now as Graves disease , the second s and its possessive apostrophe banished."
7316,Those who prescribe written usage offer no guide at all as to how to handle the problem posed by the spoken word.
7317,"And there is Bright's disease , used by the public to identify chronic kidney disease of any cause which might be called Bright disease by some."
7318,"There, possessive is defined as having possession and apostrophe as In rhetoric, a diversion of speech to another person or In grammar, the contraction of a word; as, tho', for though."
7319,"Use of the apostrophe to indicate possession or in combining short words, as, isn't for is not, is not considered."
7320,"Safire's syndrome is not limited to medicine. The advice to the consumer, Just keep the apostrophes straight."
7321,"There is not a finite number, I am sure, but it must be a large number."
7322,Lingerie manufacturer works with University Extension to improve bottom line.
7323,Humor and the ability to express it have been a fundamental part of human life from the beginning.
7324,"But, as sure as there are wines that do not travel well, so, too, is there a type of humor and a form of language that is best appreciated in the land of its origin."
7325,"Or, to be more specific, in its region of origin."
7326,"Visitors to the region laugh, not so much at what is said, but at the way in which it is said."
7327,The listener laughs at the reconteur as much as at the story itself.
7328,Listen to the lugubrious drollery of the western Highlander.
7329,"His stories are long and involved, and they are best heard when you have lots of time on your hands."
7330,"Whether he is relating one in his native Gaelic or in the lilting English that he learned at school, you can almost hear the sough of the sea on far-off, never-to-be-seen-again Hebridean machairs as he speaks."
7331,"There is an innocent humor to be found in his stories, to be sure, but they are stories that are invariably tinged with a brooding sort of sadness."
7332,"You are glad that you listened, but you are left with a louring aura of melancholy around you long after you have taken your leave of him."
7333,Over on the east coast the humor is sharp and incisive.
7334,"It is a sardonic wit, a wit that can be as savage and biting as the dry northern winds that sear this land for a goodly part of the year."
7335,"It has much of the pawky vulgarity of the Glasgow wit, but it is different somehow, much more personal."
7336,"On the other hand, listening to the banter between gaggles of Glaswegians at, say, their Barras market on any morning of the year is like listening to the discordant yakking of jackdaws around derelict tenement chimneys in the nesting season."
7337,"Far away from all those, down at the southernmost tip of Scotland, both humour and dialect have a decidedly Irish flavor."
7338,"With the green glens of Antrim just a short hop across the water, this might not, on the face of it, seem so surprising."
7339,"The earlier inhabitants, the shy Mesolithic tribes and the mysterious Picts, vanished for ever into the moorland mists before the invaders."
7340,"The Roman came and went, leaving not so much as a place name behind him."
7341,"Indeed, had not his Latin been adopted by the scholastic monks of the day, little would have remained to show that he had ever been there in the first place."
7342,"And then, as a historian friend of mine so succinctly put it, He just buggered off."
7343,"Stranraer, the largest town in Wigtownshire, is one such."
7344,"Its name means, literally, fat peninsula, from the Gaelic sròn reamhar ."
7345,"Gaelic was the mother tongue in Wigtownshire for twelve centuries, but little trace of it remains in the spoken language today."
7346,It was the pervasive Anglo-Saxon who really set the foundation for the dialect spoken by the modern descendants of Wigtown Man.
7347,"Although it is English that they speak, you would hardly think so when you first hear them in full flow."
7348,"Simple phrases like I wish to dismantle it become Ah'm gaan tae tak' it sinnery , and even simpler words like foolish become glaikit , so that by the end of your first day you are desperately searching for strong drink and the services of a good interpreter."
7349,"His only interest in life was his farm, and he labored long and hard among the stones and the whins to wrest a living of sorts from the reluctant soil."
7350,"It was a way of life that would have crippled many a lesser man, but Wullie was a tough old bird: when the day of his hundredth birthday dawned he was still maintaining a keen interest in the daily affairs of his little place."
7351,"The old man would have been content to allow the occasion of his centenary to pass unremarked, but his family had other ideas."
7352,"They arranged a mighty soiree for the great day, and they invited a reporter from the county newspaper to be there to interview him."
7353,"The reporter--a demurely austere product of colonial missionary parents--was on her first assignment and she was, in fact, completely new to this area."
7354,Wullie seemed preoccupied and the interview was not going well.
7355,"In desperation, she asked him if there was anything she could do to make his day complete."
7356,"When she had recovered somewhat, her messianic zeal got the better of her and she reminded him that, at his age, he should be more concerned with thoughts of the afterlife than with the prurient temptations of this one."
7357,She would probably have pursued this subject at some length had not the old man interrupted her.
7358,"Mebbee ye're richt, lassie, he said, But ah still need the sex."
7359,"Ye see, ah've got foarty-fower hunnerwecht o' tatties oot there ahint the byre, an' ah've nae sex tae pit them in."
7360,There have been no battles on its soil since Roman times.
7361,"Although many of its sons have died on foreign shores under the British banner, the land itself has slumbered undisturbed."
7362,The horrors of the London blitz belonged to another planet: things that were read about in newspapers but which were barely comprehended by the majority in this tranquil little backwater.
7363,"They were cynics, as most old countrymen are, and neither could be convinced that the war just ending would be the war to end all wars."
7364,"One of them, an old campaigner with the local Home Guard, was particularly eloquent."
7365,"Jeest tak' heed o' whut ah tell ye, Erchie, warned the sage, They'll be anither waar yit."
7366,"An' whun it dis stert, ah wud wadjir ma wumman an' weans agin yours that it 'ull be a faar waar waar th'n th' last waar wur."
7367,But the invader had better come prepared if he ventures beyond Hadrian's Wall.
7368,"He is in for a long, long haul in the wind and the rain and the sleet if he wishes to master the Galloway-Irish."
7369,"Take that universally popular caged bird, the budgerigar , first encountered in the inland of New South Wales and known to the colonists from the 1840s."
7370,"But in the Sydney language only, its familiarity to English ears being the result of its taking on in Australian pidgin as a term of approbation from as early as 1790."
7371,"What more natural than that the White perception of a bird destined to become a plaything of the western world--as evidenced by another of its names, the lovebird --should become paramount."
7372,In Australia now the shortened form budgie is in more common use--but that is another story.
7373,"Another world that exercised the etymological imagination is billabong , which owes its currency outside Australia to the familiarity of the national song, Waltzing Matilda , of which it is a crucial part."
7374,"Here again a word was broken down into two elements, billa creek and bang or bung dead, and little thought given to the fact of their independent origin."
7375,"Tempting as this suggestion may be, it is geographically and chronologically impossible."
7376,"Yet another Aboriginal word, borak , was held by some to be the etymon of barrack , although the probability has to be that this is a British regional dialect word given a new lease of life in fresh circumstances."
7377,"Borak was borrowed in the late 1830s and, perhaps because the Dharuk negative baal was already in use, did not last long in its primary sense."
7378,"But it almost simultaneously developed a secondary sense as a noun meaning nonsense, rubbish, a synonym for the more frequently used gammon , a British cant word for guile or deceit that the convicts brought with them and which also moved in the direction of nonsense or humbug."
7379,"Oddly, borak was coupled with the verb poke in the phrase to poke borak at , meaning to deride, and this was close enough to the transitive use of the verb barrack ridicule, jeer at, verbally abuse to suggest that the two might be connected."
7380,"And, in the absence of a memory of its British use, the Aboriginal, being to hand, seemed to some a possible source."
7381,"Again, what needs to be taken into account is the balance of probabilities."
7382,"It is unlikely that a borrowed word would undergo a significant change in form so quickly and, with hindsight, it is more likely that an impreciseness of meaning caused by unfamiliarity should attend the bringing into vogue of a word amongst those who did not have a dialect memory of it."
7383,"So barrack , attested as a Northern Irish term for bragging, shifts slightly but not contextually in meaning to the vociferous denigration of a sporting team or a participant in a fight, and admits the converse of this in the intransitive verb barrack for support."
7384,And the less said the better about another conjectural etymology which would have it that this partisan practice began in Melbourne and characterized the behavior of the crowd at the police barracks end of the ground.
7385,"The golden rule has to be that, if there is a historically valid source, it is to be preferred unless the circumstantial evidence makes a mockery of it."
7386,In this case the presence of a high proportion of British regional dialect speakers amongst the convicts and settlers who emigrated or were transported to Australia argues incontrovertibly in favor of a dialect origin if a potential etymon can be shown to exist.
7387,"One can, even if there is a perceptible difference between the benign OED definition a mischievous or frolicsome youth and the Australian a young urban rough."
7388,"The circumstantial evidence provided by the historical dictionary's quotations documents the shift, and there is no case for resorting to the fable that the word derives from the description of such youths larking about."
7389,"Names are a tricky subject in English as in any language, but happily a very few facts go a long way towards explaining the origins of hundreds of English nicknames and family names."
7390,"Many family names are patronymics, so called because they are based on the first name of some long-ago father."
7391,"That is important because many familiar patronymics are based on otherwise obsolete nicknames, as we shall see."
7392,"All of these suffixes show up again and again in surnames, so they can be quickly recognized."
7393,Harder to recognize are certain distortions imposed on the bodies of first names when they are clipped down to nicknames.
7394,"Middle English, however, had many other ways to play around with a first name to make new nicknames, including the seven patterns of consonant substitution discussed below."
7395,"Listed below by consonant category are all the forms I have been able to find, regardless of their modern currency."
7396,Note that a few names fall into more than one category.
7397,"Pursuing a favorite pastime was known as riding one's hobby horse , the origin of hobbies ."
7398,There are also some similarlooking names that merit attention.
7399,"As nicknames, most forms in this set are obsolete, and perhaps for good reason: I knew a Melissa who absolutely hated being called Missy."
7400,"And, shouting angrily, I don't have to show you any stinking badges!"
7401,"First and most obvious is its use of repetition, perhaps the simplest poetic device."
7402,"And it might also be considered an example of pleonasm, the use of more words than those necessary to denote mere sense; redundancy, or tautology."
7403,But most remarkable is that only the third sentence is grammatically correct.
7404,"The first two are merely slang, but by the third Mr. Bedoya has become so enraged that he resorts to speaking correct English."
7405,"Perhaps if he had displayed some badges, authentic or otherwise, he might have more easily achieved his objective."
7406,"Bedoya also reveals his identity as a relatively learned man, undoubtedly a major reason that he is the jefe of his gang."
7407,"Emotion will betray character every time, and education is power. Collecting lists of silliness is a legitimate pastime."
7408,My collections are completely without academic merit but they amuse me.
7409,"To compare the collectors of Wellerisms to brick-wall comedians is to overlook a generational, if not historical and unfortunate shift in humor."
7410,"Men of my grandpa's era and earlier were amused by the subtle, the slapstick, and the silly."
7411,Men of my generation and younger are amused by the sewer.
7412,Can you imagine the hard-edged rappers of today being tickled by the lyrics of Mairzy Doats?
7413,"My dad's earnest question, do you walk to school or carry your lunch? At home I spotted this identifying plate: 2THMD."
7414,"If a speaker of Mina is suffering he will say that he is eating the wind, if he is comfortable he will say that he is eating life, if someone lends him money he will say he has eaten their credit."
7415,"Birthdays, religious festivals, and anniversaries are also eaten."
7416,"Whereas it is easy to explain this by referring to the cultural importance of food in African societies, the same reasoning can hardly be applied to the case of English, which has its own fair share of food images."
7417,"While our cars eat up the miles, we chew over ideas, digest information, devour with our eyes, make mincemeat of our enemies, and take what they say with a pinch of salt ."
7418,We are forced to eat our words and our hats and we occasionally bite off more than we can chew .
7419,All of which should give us food for thought. English is the compulsory second language in Israeli schools.
7420,"For readers of the language whose mother tongue is Hebrew, English brings an additional challenge, learning a new alef bet Alphabet with its accompanying new rules."
7421,Hebrew has a script generally written without vowels--except for prayer books and books for little children.
7422,"After the first few years in school, children do without them."
7423,"In addition, several consonants do double duty by adding a dot within the letter."
7424,"These marks are also discarded with the vowels, so that often one has to understand by context."
7425,"That is difficult for foreign students of Hebrew, but we are not dealing with these poor souls here."
7426,"What we are dealing with is our schoolchildren, who are writing, Why get ufset ober a pew consonants?"
7427,"Learners of English are also troubled by words like film, corn, and charm ."
7428,"Not only is the lack of a vowel sound between the consonants unacceptable, but the l and r are pronounced in all their glory: FILLIM, CORREN, CHARREM."
7429,"The fact that the vowels are not written does not prove that they are not there, does it?"
7430,The word fillim -- pillim for the more literate--is very popular.
7431,"Still, there is yet hope: now that Israel has signed a peace treaty with Jordan, the sign at the frontier near my home warning approaching persons of DANGER, FRONT BEHIND!"
7432,"Suppose you try a different tack, And on the square you flash your flag?"
7433,"At penny-a-lining make your whack, Or with the mummers mug and gag?"
7434,"At any graft, no matter what, Your merry goblins soon stravag: Booze and the blowens cop the lot."
7435,"Henley endured years of agony, and his poem, Invictus, was truly written from experience."
7436,"Tories, my dear, are people who like to have a queen, and lords, and bishops, and more or less remain as they are--whilst Radicals object to having a queen and a House of Lords, and are dissatisfied with everything and everybody, jealous of all who are better off than themselves, and are always trying to rob them of their property, and, in fact, they're a pack of infernal rogues and scoundrels!"
7437,"When we moved into our present house in the '60s we were told that the garden measured five and a half rods square --the square of 5.5 is not a simple piece of mental arithmetic, I found."
7438,"• From the same article, the use of without to mean outside persists very commonly in cryptic crossword clues."
7439,But then a great deal or archaic or arcane usage crops up in that context.
7440,"Norfolk Punch, on the other hand, is a commercial non-alcoholic drink of herbal origin and reputedly health-giving."
7441,"We still say, Fill 'er up of a car or She's been a good old ship."
7442,"But in more formal standard English inanimate objects are now referred to by the neuter pronoun it , though in other Indo-European languages that I know grammatical gender lingers as a sort of ghost of animistic gender haunting all nouns."
7443,"A Frenchman speaking his native tongue might tell you, Notre langue francaise, elle est trés belle."
7444,In this respect English pronouns referring to animals appear to be marginal.
7445,"Although according to current prescriptive grammar, animals, especially of unknown sex, should be referred to as it , they practically never are in standard spoken English."
7446,So I was progressively puzzled to hear a Hispanic friend always refer to my grandson's goldfish as she/her .
7447,"The Spanish word for fish is pez , a masculine noun, or loosely, pescado , which is also masculine and properly designates fish as game or fare."
7448,"It would hardly do to ask because when pressed for a word, a native speaker will often come up with one that he thinks is proper rather than the one in common usage."
7449,"Since for centuries about the only fish known to the Hispanic hillbillies in the mountain valleys of northern New Mexico were trout, the word for trout, trucha, has become generic, supplanting pez and pescado for fish in everyday language."
7450,"Spanish gender is not the only element of the language of bilingual Hispanics that may affect their language, whether English or Spanish."
7451,"Context may influence their choice of words. Sí, I replied, en este techo hay goteras."
7452,"Indeed, I was slightly bothered by having had the bastard word thrust upon me."
7453,So later I asked the same lady who feminized the goldfish why the roofer used liques when Spanish has the common word gotera meaning the same thing.
7454,She was not sure; gotera sounded better to her.
7455,But later she consulted her husband about the matter and passed along his analysis to me.
7456,"Her husband had said that one should speak of goteras in a roof, as the roofers had not, but of liques in machinery, for example in a car engine."
7457,"From this pronouncement I extrapolated that when things are introduced into one culture from another, the words for and about those things tend to come attached to the things."
7458,"So a car motor springs a leak, but properly speaking, a roof or an old human body develops goteras ."
7459,Languages influence one another most conspicuously in phonology.
7460,So out of character was the scatalogical word that I could not believe that I had heard it right.
7461,Spanish lacks the phoneme i as in sit for which the Hispanic ear and tongue tend to substitute the i of Francine .
7462,"Subliminally aware of these tendencies in her speech, my unwitting informant had compensated for the tendencies by reverse substitution."
7463,"Meaning to say cheated, she had articulated sh in place of ch and the i of sit in place of the ea ."
7464,"In Cockney English, for example, where initial h is regularly dropped there is a tendency to compensate by supplying initial h where it does not belong."
